mobile_name,mobile_price,mobile_color,dual_sim,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
"Redmi Y2 (Black, 64 GB)",8499,Black,Dual Sim,15.21 cm (5.99 inch),1440 x 720 pixels,Android Oreo 8.0,Octa Core,2 GHz,64 GB,4 GB,12MP + 5MP,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,77.26 mm,160.73 mm,8.1 mm,168 g
"Redmi Note 7 (Onyx Black, 32 GB)",9999,Onyx Black,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,32 GB,3 GB,12MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi 7A (Matte Black, 16 GB)",6499,Matte Black,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,16 GB,2 GB,12MP Rear Camera,5MP Front Camera,"4G VOLTE, 3G, 2G",Yes,4000 mAh,70.4 mm,146.3 mm,9.55 mm,165 g
"Redmi 6 (Rose Gold, 32 GB)",7999,Rose Gold,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Android Oreo 8.1,Octa Core,2 GHz,32 GB,3 GB,12MP + 5MP,5MP Front Camera,"3G, 4G VOLTE, 2G",Yes,3000 mAh,71.5 mm,147.5 mm,8.3 mm,146 g
"Redmi Note 7 (Ruby Red, 32 GB)",9999,Ruby Red,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,32 GB,3 GB,12MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi Note 7S (Ruby Red, 64 GB)",11999,Ruby Red,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,64 GB,4 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi 7A (Matte Gold, 16 GB)",6499,Matte Gold,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,16 GB,2 GB,12MP Rear Camera,5MP Front Camera,"4G VOLTE, 3G, 2G",Yes,4000 mAh,70.4 mm,146.3 mm,9.55 mm,165 g
"Redmi Note 5 Pro (Blue, 64 GB)",13999,Blue,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 5 Pro (Blue, 64 GB)",12999,Blue,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Y3 (Elegant Blue, 32 GB)",8369,Elegant Blue,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Android Pie 9.0,Octa Core,1.8 GHz,32 GB,3 GB,12MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4000 mAh,75.58 mm,158.73 mm,8.47 mm,180 g
"Redmi Y3 (Prime Black, 32 GB)",8090,Prime Black,Dual Sim,15.9 cm (6.26 inch),1520 x 720 pixels,Android Pie 9.0,Octa Core,1.8 GHz,32 GB,3 GB,12MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4000 mAh,75.58 mm,158.73 mm,8.47 mm,180 g
"Redmi Note 7 (Sapphire Blue, 32 GB)",9999,Sapphire Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,32 GB,3 GB,12MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi K20 (Flame Red, 64 GB)",21999,Flame Red,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,64 GB,6 GB,48MP + 13MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,74.3 mm,156.7 mm,8.8 mm,191 g
"Redmi Note 7S (Astro Moonlight White, 32 GB)",9999,Astro Moonlight White,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.2 GHz,32 GB,3 GB,48MP + 5MP,13MP Front Camera,2G,Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Mi 10 (Coral Green, 256 GB)",55400,Coral Green,Dual Sim,16.94 cm (6.67 inch),2340 x 1080 Pixel,Android Pie 10,Octa Core,2.84 GHz,256 GB,8 GB,108MP Rear Camera,20MP Front Camera,"4G VOLTE, 5G",Yes,4780 mAh,74.8 mm,162.58 mm,8.96 mm,209 g
"Redmi Note 5 Pro (Black, 64 GB)",13999,Black,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 5 Pro (Rose Gold, 64 GB)",16999,Rose Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Redmi Note 5 Pro (Red, 64 GB)",12999,Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Mi A2 (Red, 64 GB)",13999,Red,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi Note 5 Pro (Gold, 64 GB)",17999,Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Android Nougat 7.1.2,Octa Core,1.8 GHz,64 GB,6 GB,12MP + 5MP,20MP Front Camera,"3G, 4G VOLTE, 4G",Yes,4000 mAh,75.35 mm,158.58 mm,8.05 mm,181 g
"Mi A2 (Blue/Lake Blue, 64 GB)",13999,Blue/Lake Blue,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi Go (Blue, 16 GB)",6700,Blue,Dual Sim,12.7 cm (5 inch),1280 x 720 pixels,Android Oreo 8.1,Quad Core,1.4 GHz,16 GB,1 GB,8MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3000 mAh,70.1 mm,140.4 mm,8.35 mm,137 g
"Redmi Note 4 (Gold, 64 GB)",13999,Gold,Dual Sim,13.97 cm (5.5 inch),1920 x 1080 pixels,Android Marshmallow 6.0.1,Octa Core,2 GHz,64 GB,4 GB,13MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE",Yes,4100 mAh,76 mm,151 mm,8.4 mm,165 g
"Redmi 8A Dual (Sky White, 32 GB)",8499,Sky White,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$pixel,Android Pie 9,Octa Core,2 GHz,32 GB,2 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi 8A Dual (Midnight Grey, 32 GB)",8498,Midnight Grey,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,2 GB,13MP + 2MP,8MP Dual Front Camera,"4G VOLTE, 3G, 2G",Yes,5000 mAh,9 mm,175 mm,92 mm,186 g
"Redmi 8A Dual (Sky White, 64 GB)",9990,Sky White,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$pixel,Android Pie 9,Octa Core,1.95 GHz,64 GB,3 GB,13MP + 2MP,8MP Front Camera,"3G, 4G VOLTE",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,191 g
"Redmi 8A Dual (Sea Blue, 64 GB)",9990,Sea Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$pixel,Android Pie 9,Octa Core,1.95 GHz,64 GB,3 GB,13MP + 2MP,8MP Front Camera,"3G, 4G VOLTE",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,191 g
"Redmi Note 6 Pro (Black, 64 GB)",11349,Black,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Android Oreo 8.1,Octa Core,1.8 GHz,64 GB,4 GB,12MP + 5MP,20MP + 2MP Dual Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,76.4 mm,157.9 mm,8.26 mm,181 g
"Redmi Note 7 Pro (Neptune Blue, 128 GB)",16999,Neptune Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,6 GB,48MP + 5MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Redmi 8A Dual (Midnight Grey, 64 GB)",9999,Midnight Grey,Dual Sim,15.8 cm (6.22 inch),1520 x 720$$pixel,Android Pie 9,Octa Core,1.95 GHz,64 GB,3 GB,13MP + 2MP,8MP Front Camera,"3G, 4G VOLTE",Yes,5000 mAh,75.41 mm,156.48 mm,9.4 mm,191 g
"Redmi Note 9 Pro (Glacier White, 128 GB)",19999,Glacier White,Dual Sim,16.94 cm (6.67 inch),2400 x 1080$$pixel,Android Pie 10,Octa Core,2.3 GHz,128 GB,6 GB,48MP + 8MP + 5MP + 2MP,16MP Front Camera,"4G VOLTE, 3G",Yes,5020 mAh,76.68 mm,165.75 mm,8.8 mm,209 g
"Redmi Note 7 (Sapphire Blue, 64 GB)",14800,Sapphire Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.2 GHz,64 GB,4 GB,12MP + 2MP,13MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4000 mAh,75.21 mm,159.21 mm,8.1 mm,186 g
"Mi A2 (Rose Gold, 64 GB)",13990,Rose Gold,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Android Oreo 8.1,Octa Core,2.2 GHz,64 GB,4 GB,20MP + 12MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3010 mAh,75.4 mm,158.7 mm,7.3 mm,168 g
"Redmi 7A (Matte Gold, 32 GB)",6699,Matte Gold,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Android Pie 9.0,Octa Core,2 GHz,32 GB,2 GB,12MP Rear Camera,5MP Front Camera,"4G VOLTE, 3G, 2G",Yes,4000 mAh,70.4 mm,146.3 mm,9.55 mm,165 g
"Redmi Y2 (Rose Gold, 32 GB)",8689,Rose Gold,Dual Sim,15.21 cm (5.99 inch),1440 x 720 pixels,Android Oreo 8.0,Octa Core,2 GHz,32 GB,3 GB,12MP + 5MP,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,77.26 mm,160.73 mm,8.1 mm,168 g
"Redmi Y1 (Grey, 64 GB)",11599,Grey,Dual Sim,13.97 cm (5.5 inch),1280 x 720 Pixels,Android Nougat 7.1.2,Octa Core,1.4 GHz,64 GB,4 GB,13MP Rear Camera,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,76.2 mm,153 mm,7.7 mm,154 g
"Redmi Y2 (Dark Grey, 32 GB)",7999,Dark Grey,Dual Sim,15.21 cm (5.99 inch),1440 x 720 pixels,Android Oreo 8.0,Octa Core,2 GHz,32 GB,3 GB,12MP + 5MP,16MP Front Camera,"3G, 4G, 2G",Yes,3080 mAh,77.26 mm,160.73 mm,8.1 mm,168 g
"Vivo Y12 (Burgundy Red, 64 GB)",9900,Burgundy Red,Dual Sim,16.13 cm (6.35 inch),720 x 1544 pixels,Android Pie 9.0,Octa Core,2 GHz,64 GB,3 GB,13MP + 2MP + 8MP,8MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo U10 (Thunder Black, 32 GB)",10990,Thunder Black,Dual Sim,16.13 cm (6.35 inch),720 x 1544 Pixels,Android Pie 9,Octa Core,2 GHz,32 GB,3 GB,13MP + 8MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo Y11 (Mineral Blue, 32 GB)",10849,Mineral Blue,Dual Sim,16.13 cm (6.35 inch),720 x 1544 Pixels,Android Pie 9,Octa Core,1.95 GHz,32 GB,3 GB,13MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo Z1x (Fusion Blue, 64 GB)",16990,Fusion Blue,Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Android Pie 9,Octa Core,2.3 GHz,64 GB,6 GB,48MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,189.6 g
"Vivo Z1x (Phantom Purple, 64 GB)",16990,Phantom Purple,Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Android Pie 9,Octa Core,2.3 GHz,64 GB,6 GB,48MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,189.6 g
"Vivo Z1x (Fusion Blue, 128 GB)",18990,Fusion Blue,Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Android Pie 9,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G, 3G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,189.6 g
"Vivo Z1x (Phantom Purple, 128 GB)",18990,Phantom Purple,Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Android Pie 9,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP,32MP Front Camera,"4G, 3G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,189.6 g
"Vivo Y15 (Burgundy Red, 64 GB)",12990,Burgundy Red,Dual Sim,16.13 cm (6.35 inch),720 x 1544 pixels,Android Pie 9.0,Octa Core,2 GHz,64 GB,4 GB,13MP + 2MP + 8MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo Y11 (Agate Red, 32 GB)",10849,Agate Red,Dual Sim,16.13 cm (6.35 inch),720 x 1544 Pixels,Android Pie 9,Octa Core,1.95 GHz,32 GB,3 GB,13MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo S1 Pro (Mystic Black, 128 GB)",19990,Mystic Black,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4500 mAh,75.19 mm,159.25 mm,8.68 mm,186.7 g
"Vivo S1 Pro (Jazzy Blue, 128 GB)",19990,Jazzy Blue,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4500 mAh,75.19 mm,159.25 mm,8.68 mm,186.7 g
"Vivo S1 Pro (Dreamy White, 128 GB)",19990,Dreamy White,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,4500 mAh,75.19 mm,159.25 mm,8.68 mm,186.7 g
"Vivo Y91i (Fusion Black, 32 GB)",8990,Fusion Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Oreo 8.1,Octa Core,2 GHz,32 GB,3 GB,13MP Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4030 mAh,75.09 mm,155.11 mm,8.28 mm,163.5 g
"Vivo Y91i (Ocean Blue, 32 GB)",11982,Ocean Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Android Oreo 8.1,Octa Core,2 GHz,32 GB,3 GB,13MP Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4030 mAh,75.09 mm,155.11 mm,8.28 mm,163.5 g
"Vivo Y50 (Pearl White, 128 GB)",17990,Pearl White,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Android 10,Octa Core,2 GHz,128 GB,8 GB,13MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,76.46 mm,162.04 mm,9.11 mm,197 g
"Vivo Y50 (Iris Blue, 128 GB)",17990,Iris Blue,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Android 10,Octa Core,2 GHz,128 GB,8 GB,13MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,76.46 mm,162.04 mm,9.11 mm,197 g
"Vivo Z1Pro (Sonic Black, 128 GB)",17990,Sonic Black,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.3 GHz,128 GB,6 GB,16MP + 2MP + 8MP,32MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,77.33 mm,162.39 mm,8.85 mm,201 g
"Vivo Z1Pro (Sonic Black, 64 GB)",13990,Sonic Black,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.3 GHz,64 GB,4 GB,16MP + 2MP + 8MP,32MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,77.33 mm,162.39 mm,8.85 mm,201 g
"Vivo Z1Pro (Sonic Blue, 128 GB)",17990,Sonic Blue,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Android Pie 9,Octa Core,2.3 GHz,128 GB,6 GB,16MP + 2MP + 8MP,32MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,77.33 mm,162.39 mm,8.85 mm,201 g
"Vivo Y91i (Ocean Blue, 32 GB)",8705,Ocean Blue,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Oreo 8.1,Octa Core,2 GHz,32 GB,2 GB,13MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4030 mAh,75.09 mm,155.11 mm,8.28 mm,163.5 g
"Vivo Y91i (Fusion Black, 32 GB)",8949,Fusion Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Oreo 8.1,Octa Core,2 GHz,32 GB,2 GB,13MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4030 mAh,75.09 mm,155.11 mm,8.28 mm,163.5 g
"Vivo Y19 (Magnetic Black, 128 GB)",16375,Magnetic Black,Dual Sim,16.59 cm (6.53 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,16MP + 8MP + 2MP,16MP Front Camera,"3G, 4G, 2G",Yes,5000 mAh,76.47 mm,162.15 mm,8.89 mm,193 g
"Vivo V19 (Mystic Silver, 256 GB)",31990,Mystic Silver,Dual Sim,16.36 cm (6.44 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.3 GHz,256 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4500 mAh,75.04 mm,159.64 mm,8.5 mm,186.5 g
"Vivo V19 (Mystic Silver, 128 GB)",27990,Mystic Silver,Dual Sim,16.36 cm (6.44 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4500 mAh,75.04 mm,159.64 mm,8.5 mm,186.5 g
"Vivo V19 (Piano Black, 128 GB)",27990,Piano Black,Dual Sim,16.36 cm (6.44 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4500 mAh,75.04 mm,159.64 mm,8.5 mm,186.5 g
"Vivo V19 (Piano Black, 256 GB)",31990,Piano Black,Dual Sim,16.36 cm (6.44 inch),2400 × 1080 Pixels,Android 10,Octa Core,2.3 GHz,256 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP + 8MP Dual Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,4500 mAh,75.04 mm,159.64 mm,8.5 mm,186.5 g
"Vivo V17 (Glacier ice white, 128 GB)",24990,Glacier ice white,Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G, 3G, 2G",Yes,4500 mAh,74.17 mm,159.01 mm,8.54 mm,176 g
"Vivo V17 (Midnight Ocean Black, 128 GB)",24990,Midnight Ocean Black,Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP,32MP Front Camera,"4G, 3G, 2G",Yes,4500 mAh,74.17 mm,159.01 mm,8.54 mm,176 g
"Vivo U10 (Electric Blue, 64 GB)",11990,Electric Blue,Dual Sim,16.13 cm (6.35 inch),720 x 1544 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,3 GB,13MP + 8MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo S1 (Skyline Blue, 64 GB)",18990,Skyline Blue,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,6 GB,16MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,179 g
"Vivo S1 (Skyline Blue, 128 GB)",16990,Skyline Blue,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,16MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,179 g
"Vivo S1 (Skyline Blue, 128 GB)",19990,Skyline Blue,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,16MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,179 g
"Vivo S1 (Diamond Black, 128 GB)",16990,Diamond Black,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,4 GB,16MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,179 g
"Vivo S1 (Diamond Black, 128 GB)",19990,Diamond Black,Dual Sim,16.21 cm (6.38 inch),1080 x 2340 Pixels,Android Pie 9,Octa Core,2 GHz,128 GB,6 GB,16MP + 8MP + 2MP,32MP Front Camera,"3G, 4G, 2G",Yes,4500 mAh,75.23 mm,159.53 mm,8.13 mm,179 g
"Vivo Y91i (Fusion Black, 16 GB)",9199,Fusion Black,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Android Oreo 8.1,Octa Core,2 GHz,16 GB,2 GB,13MP Rear Camera,5MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4030 mAh,75.09 mm,155.11 mm,8.28 mm,163.5 g
"Vivo V15 Pro (Topaz Blue, 128 GB)",22399,Topaz Blue,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,6 GB,48MP + 5MP + 8MP,32MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3700 mAh,74.71 mm,157.25 mm,8.21 mm,185 g
"Vivo Y17 (Mystic Purple, 128 GB)",13990,Mystic Purple,Dual Sim,16.13 cm (6.35 inch),720 x 1544 pixels,Android Pie 9.0,Octa Core,2.3 GHz,128 GB,4 GB,13MP + 2MP + 8MP,20MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
"Vivo V15 Pro (Ruby Red, 128 GB)",21099,Ruby Red,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,6 GB,"48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8MP + 5MP, AI Triple Rear Camera",32MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,3700 mAh,74.71 mm,157.25 mm,8.21 mm,185 g
"Vivo V17Pro (Midnight Ocean Black, 128 GB)",29499,Midnight Ocean Black,Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,8 GB,48MP + 13MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"3G, 4G, 2G",Yes,4100 mAh,74.7 mm,159 mm,9.8 mm,201.8 g
"Vivo V17Pro (Glacier Ice White, 128 GB)",29499,Glacier Ice White,Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Android Pie 9.0,Octa Core,2 GHz,128 GB,8 GB,48MP + 13MP + 8MP + 2MP,32MP + 8MP Dual Front Camera,"3G, 4G, 2G",Yes,4100 mAh,74.7 mm,159 mm,9.8 mm,201.8 g
"Vivo U10 (Thunder Black, 64 GB)",11490,Thunder Black,Dual Sim,16.13 cm (6.35 inch),720 x 1544 Pixels,Android Pie 9,Octa Core,2 GHz,64 GB,3 GB,13MP + 8MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 2G, 3G",Yes,5000 mAh,76.77 mm,159.43 mm,8.92 mm,190.5 g
